Key,Description,Standard,pt-BR,zh-TW
SAY.Flowchart.29.Ellie,,I feel like I’m cleaning a lot of beds recently.{wc}Maybe I’ll be the bed cleaning expert instead of the glass cleaning expert.,Eu sinto que estou arrumando muitas camas recentemente.{wc}Talvez eu me torne especialista em arrumar camas ao invés de especialista em reparar vidros.,我覺得最近越來越常整理床舖了。{wc}感覺自己又在清理的科技樹上點出「床舖整理技術」這門技術。
SAY.Flowchart.68.Miss,,"You have the skills to clean any mess, there’s no need for you to limit yourself to just one type.","Você possui habilidade para limpar qualquer bagunça, não há necessidade de limitar-se apenas a um tipo.",妳的清理功夫不能只專精於一種歐！因為妳的潛能告訴我妳將能夠清理任何髒污！
SAY.Flowchart.69.Ellie,,{i}(Ah... Miss is so nice!),{i}(Ah... a Dona é tão legal!),{i}（啊！小姐真是親切！）
SAY.Flowchart.71.Ellie,,"{i}(Urk... is this blood? I feel a little queasy..){wc}(No, no, I’m sure it’s not blood, I’m just overthinking again. It’s okay.)","{i}(Eca... isso é sangue? Me sinto um pouco enjoada..){wc}(Não, não, estou certa de que não é sangue, só estou me preocupando demais. Tá tudo bem.)",{i}（痾這是血嗎？我感到有點不適）{wc}（哈......這一定又是我在胡思亂想啊！不用擔心啦！）
SAY.Flowchart.81.Ellie,,{i}(This reminds me of my childhood.),{i}(Isso me lembra minha infância.),{i}（這讓我想起了自己的童年。）
SAY.Flowchart.87.Ellie,,"I kinda wanna use this fan... it’s a little hot... Miss, do you mind if I turn it on?","Eu meio que quero usar esse ventilador... tá um pouco calor... Dona, você se importa se eu ligá-lo?",這裡真的有點熱欸，我可以打開那台電風扇嗎？
SAY.Flowchart.88.Miss,,"Huh? Oh, the fan?{wc}I don’t think it works very well, it seems like it’d be quite loud. But turn it on if you wish.","Hã? Ah, o ventilador?{wc}Eu não acho que ele funcione bem, parece que seria um pouco barulhento. Mas ligue-o, se desejar.",妳是指那台電風扇？{wc}我在猜那破東西不太能用，而且感覺會還蠻大聲的。但妳也可以打開看看。
SAY.Flowchart.89.Ellie,,{i}I turn on the fan.,{i}Eu ligo o ventilador.,{i}我打開了電風扇。
SAY.Flowchart.97.Ellie,,"{i}In a second, the room is filled with clanking and screeching of metal and plastic. It feels like a few screws would fall off if I left it on for a second longer.{wc}I hurriedly turn it back off.","{i}Em um instante, a sala é infestada com o barulho de metal e plástico rangendo e batendo. Parece que alguns parafusos sairiam voando se eu o deixasse ligado por mais um segundo.{wc}Eu me apressei para desligá-lo.",{I}房間轉瞬間充滿了金屬與塑膠的敲打以及摩擦聲。要是在放個幾秒風扇內的螺絲大概就會鬆脫吧？{wc}我迅速地把風扇插頭拔掉。
SAY.Flowchart.91.Ellie,,{i}(Miss was right... I should just listen to her next time.),{i}(Dona estava certa... eu devo dar ouvidos a ela na próxima vez.),{i}（小姐是對的，我應該好好聽她的指令才對。）
SAY.Flowchart.98.Ellie,,"{i}(No wind for today, I guess... how is it so hot and humid at 2 AM?)","{i}(Sem vento hoje, eu acho... como está tão quente e húmido às 2 da manhã?)",{i}（今天無風吧？為什麼下午兩點了天氣還這麼溼熱？）
CHARACTER.Ellie,,Ellie,Ellie,艾莉
CHARACTER.Miss,,Miss,Dona,小姐
