Key,Description,Standard,pt-BR,zh-TW
SAY.Flowchart.215.Ellie,,"Ah, thank you!{wc}...{wc}Um... can I ask, though, just out of curiosity, was everything fine after the occasion?","Ah, obrigada!{wc}...{wc}Hum... quero te perguntar, só por curiosidade, ficou tudo bem depois da ocorrência?",謝......謝謝你{wc}......{wc}痾......在「那件」事件發生後妳們店家內還好吧？
SAY.Flowchart.216.Store Clerk,,...Sorry? Which occasion?,...Me desculpe? Que ocorrência?,......蛤？什麼哪件事？
SAY.Flowchart.217.Ellie,,"You know, the...","Você sabe, o...",痾就那件啊......
SAY.Flowchart.288.Ellie,,{i}I motion at the display cases I cleaned.{/i},{i}Eu aponto para as vitrines que reparei.{/i},{i}我微微指向那些我清理過的展示櫃{/i}
SAY.Flowchart.218.Store Clerk,,"Um... hmm, I’m not sure what you’re talking about exactly...{wc}...{wc}...",Hum... Eu não sei muito bem do que você tá falando...{wc}...{wc}...,我真的不太確定你想表達什麼ㄟ{wc}...{wc}...
SAY.Flowchart.274.,,{i}She seems to pale a little bit as her eyes widen.{/i},{i}Ela parece arregalar os olhos e ficar meio pálida.,{i}她看起來真有點驚訝{/i}
SAY.Flowchart.275.Store Clerk,,"Ah, were you part of the drug-- {wc}I mean, sorry, no, we’re perfectly fine. Don’t worry, your jewelry is genuine.","Ah, você soube da gangue... {wc}Quero dizer, me desculpe, não, estamos perfeitamente bem. Não se preocupe, sua joia é verdadeira.",蛤妳是毒販的一份—{wc}抱歉。別擔心，我們店家無恙。我敢保證妳剛買的項鍊不是贗品。
SAY.Flowchart.276.,,"{i}She’s so awkward I can’t help trying to end things on a lighter note. And what does she mean, drugs? I thought it was just a simple robbery!{/i}","{i}Ela está tão desconfortável que eu devo tentar encerrar isso de forma mais leve. E o que ela quis dizer com ""gangue""? Eu achei que tivesse sido um simples roubo feito por uma só pessoa!",{i}她真的讓我好尷尬啊！我不得不把這話題壓下來給自己有台階下。而且這件事跟毒販有什麼關係啊？我以為這件事只有涉及到偷盜而已啊！{/i}
SAY.Flowchart.219.Ellie,,"Oh, don’t worry about it! You know, I’m buying this necklace because I’m a cleaner!","Ah, não se preocupe com isso! Sabe, eu estou comprando esse colar porque eu sou uma faxineira!",不用擔心，我買這個項鍊只是因為我是清潔員而已！
SAY.Flowchart.289.Ellie,,"I used to wear a ring, but you always have to take those off when you wear gloves, and...","Eu costumava usar um anel, mas você sempre tem que tirar eles quando usa luvas, e...","I used to wear a ring, but you always have to take those off when you wear gloves, and...我以前都會戴戒指，但每次都得把手套拿下總覺得很耗功夫，所以......"
SAY.Flowchart.277.,,{i}The store clerk’s mood noticeably shifts at the mention that I’m a cleaner. She looks back at the purchase screen.,{i}A expressão da atendente muda de forma notável após eu mencionar que sou uma faxineira. Ela olha novamente para a tela de compras.,{i}店員的心情似乎在我提到自己的職業時有點改變。她回頭注視著收銀機螢幕。
SAY.Flowchart.231.Ellie,,"But yeah, it was really weird. I mean, I know I’m not supposed to talk about the crimes publicly, but isn’t it just a little strange?","Mas sim, foi bem esquisito. Quero dizer, eu sei que não posso falar dos crimes publicamente, mas não é um pouco estranho?",這確實有點怪怪的。說實在話我也不應該在公眾場合提到犯罪吧？但總覺得事情有點蹊蹺。
SAY.Flowchart.232.Ellie,,"Whatever! 2 AM at the new location, as always!{wc}This time, I want to give Miss a little gift. She’s been doing so much for me, I should give her something back!","Tanto faz! Às 2 da manhã no novo local, como sempre!{wc}Dessa vez eu quero dar um pequeno presente pra Dona. Ela tem feito tanto por mim, eu deveria retribuir!",管他的！如以往的凌晨兩點在新地點集合！{wc}這次我想給小姐一份小禮物。她真的為我付出了許多，所以今天是我回報給她恩德的一天！
SAY.Flowchart.234.Ellie,,"...{wc}...But going through my stash, I really don’t have much.{wc}I guess I’ll settle for some cherries I got from JEFB Grocery? They’re pretty good!",...{wc}...Mas analisando minhas reservas eu vi que não tenho muito dinheiro.{wc}Será que devo dar pra ela algumas cerejas que comprei mais cedo no mercado JEFB? Elas são muito boas!,...{wc}...不過看著自己的皮夾沒有太多餘額的情況下{wc}我猜我就在附近的菜市場買些櫻桃吧！好像不錯吃的樣子。
SAY.Flowchart.241.,,"{i}I walk into the unnamed abandoned building.{wc}It doesn’t even have an address! Miss just told me it was connected to the place at 721 Effix Street and that I’d have to search for a staircase down.{wc}I did find this place after searching a while, though it does give me a bit of the creeps. It’s so dirty, and there are so many random pairs of childrens’ shoes and litter everywhere.","{i}Eu entro no prédio abandonado e sem nome.{wc}Ele não tem nem um endereço! Dona só me disse para ir até a Rua Effix, número 721 e procurar por uma escadaria para descer.{wc}Acabei encontrando depois de procurar um pouco, embora esse lugar me dê arrepios. É muito sujo, tem muito lixo e vários pares aleatórios de sapatinhos de criança.",{i}我慢慢的踏進早已廢棄的建築內。{wc}它連一個正常的地址都沒有！小姐也只告訴我此建築大概的位置：位於羅斯福路七段二十一街與忠勇街的交叉路口附近，找到一處通往地下室的樓梯。{wc}雖然在找尋過程中讓我感些微的恐怖，但總算找到我們的集合點。工作地點看起來極為骯髒，不成對的兒童鞋與垃圾散落一地。
SAY.Flowchart.249.Miss,,Ellie! Good to see you again.,Ellie! Que bom te ver de novo.,艾莉！妳總算來了。
SAY.Flowchart.248.Ellie,,"Hi Miss!! Yeah, I think I’m finally beginning to get the hang of noticing the smaller things. It’s all because of you!{wc}And on that note, here are a few cherries I brought you!","Oi, Dona!! Sim, eu acho que finalmente estou começando a pegar o jeito de notar as pequenas coisas. Tudo por causa de você!{wc}Falando nisso, aqui estão algumas cerejas que eu trouxe pra você!",小姐晚安！我逐漸發現我最近因為你的啟發而逐漸能夠注意到更小的細節了！{wc}對了，這裡有我為妳買的一些櫻桃！
SAY.Flowchart.247.Miss,,Oh...!! Oh? For me?,Ah...!! Ah? Pra mim?,是......是給我的嗎？！
SAY.Flowchart.250.Ellie,,Yes! Because you’ve done so much for me.,Sim! Porque você já fez muito por mim.,對啊！畢竟你也為我做了這麼多事。
SAY.Flowchart.256.Miss,,"Oh my, I’ve never .. ah .. thank you, Ellie.","Ah nossa, eu nunca .. ah .. obrigada, Ellie.",哇！我怎麼想都沒想到......太謝謝妳了，艾莉！
SAY.Flowchart.255.Ellie,,"My pleasure, hehe!","O prazer é meu, hehe!",不客氣！
SAY.Flowchart.254.Ellie,,"{i}(I got them on sale, they were buy one pound get one pound free...)","{i}(Estavam na promoção, se comprasse meio quilo, levava um quilo...)",{i}（買這些櫻桃時剛剛好有買一送一的優惠：））
SAY.Flowchart.251.Miss,,"Oh, I almost forgot to introduce you to the location.","Ah, eu quase me esqueci de te apresentar o lugar.",對了我差點忘記跟妳介紹等等的工作地點。
SAY.Flowchart.258.Miss,,"I can’t disclose much, but today’s gonna be a hard one. I know we can do it, though. I trust you to take care of the visible things; I will handle the less prominent elements.",The store clerk’s mood noticeably shifts at the mention that I’m a cleaner. She looks back at the purchase screen.,我無法說明太多，但今天的工作內容會比較困難。但依照你的實力一定可以做得到的！我會把比較重要的工作留給你，剩下的雜事我來處理。
SAY.Flowchart.260.Ellie,,Ah.. okay!,Ah.. tá bem!,好！
SAY.Flowchart.262.Ellie,,"{i}(She’s been telling me less and less about the crime scenes we visit recently. But honestly, I don’t mind too much. Hearing about them sometimes make my head hurt!){wc}(Plus, I know Miss can’t tell me most things. I much more enjoy the time I spend with her!)","{i}(Ela tem me contado cada vez menos sobre os lugares que temos visitado. Mas, sinceramente, eu não ligo tanto. Ouvir sobre eles às vezes me dá dor de cabeça!){wc}(Além do mais, eu sei que a Dona não pode me contar a maioria das coisas. Eu gosto mesmo é de passar esse tempo com ela!)",{i}（她最近好像越來越少提到有關我們近期所在的犯案地點。但說實在話，我也沒有很在意，畢竟想這些也容易頭痛啊！）{wc}（加上我知道小姐沒辦法跟我提及太多東西。所以我必須享受跟他在一起的時光！）
SAY.Flowchart.263.Miss,,Alright then! Let’s make it a good one!,"Certo, então! Vamos fazer um bom trabalho!",所以今天我也把工作做好吧！
CHARACTER.,,,,
CHARACTER.Ellie,,Ellie,Ellie,艾莉
CHARACTER.Store Clerk,,Store Clerk,Atendente,店員
CHARACTER.Miss,,Miss,Dona,小姐
