Key,Description,Standard,pt-BR,zh-TW
SAY.ENIntro.103.Ellie,,"Honestly, she was pretty terrible at explaining what the job actually entails...{wc}I know it all sounds so suspicious -- I didn’t even believe it at first, until I cashed in my first paycheck -- but I love seeing the money in my bank account!!","Sinceramente, ela explicou muito mal o que nosso trabalho realmente envolve...{wc}Eu não acreditei no começo, afinal parecia suspeito, até que recebi meu primeiro pagamento, e eu amo ver dinheiro na minha conta!!",說實在話，她真的對於解釋工作細節很不在行......{wc}我知道這一切都聽起來很可疑—我一開始也不太相信，直到我收到帳單。—我最喜歡看到的就是自己的帳戶又多了一筆錢！！
SAY.ENIntro.134.Ellie,,"It’s just tough discovering things about the job I should've been told about, like how atrocious the hours really are.{wc}I said something about it, but Miss told me that I should’ve read the contract -- I know, but how could anyone possibly read such a boringly long thing??","Só é chato descobrir coisas sobre esse trabalho que eu deveria ter sido informada, como, por exemplo, os turnos terríveis.{wc}Eu comentei isso, mas Dona me disse que eu deveria ter lido o contrato... eu sei, mas como alguém poderia ler uma coisa tão comprida e chata??",不過不是一切皆好。這份工作的工時真的非常非常不穩定。{wc}我有跟小姐提過，但她說這些都已經在妳簽好的契約上了—我知道契約的重要性，但誰會仔細閱讀那份無聊的冗長的文件啊？
SAY.ENIntro.136.Ellie,,"Anyways, the only shift starts at 2 AM, and I get notice a day or two beforehand if I'm lucky. If I'm not, I get the notice the day off!{wc}Sometimes my shifts are even canceled just hours before. ","De qualquer forma, o turno começa às 2 da manhã e eu só sou avisada com um ou dois dias de antecedência, se eu tiver sorte. Se eu não tiver, sou avisada só no dia do trabalho!{wc}Algumas vezes meu turno é cancelado apenas horas antes do trabalho.",凌晨兩點是我們工作開始的時候。雖然薪資很高，但工作的通知總是來得不穩定。運氣好時也頂多會提早幾天寄送，但大多都會工作幾小時前才寄送。不過如果當天沒有被通知，就代表我能休息一天！{wc}有時我的工作也會在工作開始前幾小時就被取消。
SAY.ENIntro.138.Ellie,,"R.I.P my sleep schedule, but anything for the money, I guess...!{","Minha rotina de sono já era, mas tudo pelo dinheiro. Eu acho...",我只好為了錢犧牲一點睡眠吧！
SAY.ENIntro.141.Ellie,,"It's currently 5 PM. I've got 9 more hours before my job today starts.{wc}Gaaaah, this day is going to be soooo long.","Já são 5 da tarde. Tenho mais 9 horas até o início do trabalho de hoje.{wc}Gaaaah, esse será um dia muuuito longo.",現在是下午五點，離工作開始還有九小時。{wc}今天感覺是很常的一天啊！
SAY.ENIntro.83.Ellie,,"Alright, it’s 12 AM and Miss just confirmed that we have work today! Time to get ready!{wc}Huh? Do I like my job?","Certo, é meia-noite e a Dona acabou de confirmar que temos trabalho hoje! Hora de me arrumar!{wc}Hã? Se eu gosto do meu trabalho?",現在是凌晨十二點然後已經被小姐通知今天的工作了！該開始準備了！{wc}你問我我喜歡現在的工作嗎？
SAY.ENIntro.142.Ellie,,"Well, I mean... the maid costume is cute! It’s my favorite part of this work. So yeah, I guess I do like it!","Bem, quero dizer... o traje de faxineira é fofo! É minha parte favorita desse trabalho. Então sim, acho que gosto!",女僕裝很好看啊！可以說穿著女僕裝總是能夠點亮自己的工作心情。
SAY.ENIntro.145.Ellie,,"It just seems a little dangerous sometimes, but Miss takes care of me really well. She’s so mature even though she’s my age. I’m really grateful for her!","Só parece ser um pouco perigoso às vezes, mas Dona toma conta de mim muito bem. Ela é tão madura, mesmo tendo a mesma idade que eu. Sou realmente grata a ela!",只是有時就覺得有點危險而已，不過小姐總是會保護我的安全。雖然小姐跟我差不多年紀，但她感覺比我成熟許多！我真的非常感謝她！
SAY.ENIntro.88.Ellie,,"{i}I walk into Pocket Jewelry Shop.{wc}Unlike what the name might suggest, it’s actually a very high-end brand that apparently only sells the most high-quality jewelry.{wc}I'd like to buy some one day.{wc}Pocket Jewelry, definitely not meant to be carried in your pocket or paid with pocket money.{/i}","{i}Eu entro na loja Joias de Bolso.{wc}Ao contrário do que o nome pode sugerir, essa marca, na verdade, é de alto padrão e aparentemente só vende joias de alta qualidade.{wc}Eu gostaria de comprar alguma um dia.{wc}Joias de Bolso, definitivamente não foram feitas para serem carregadas no seu bolso ou pagas com dinheiro que cabe no bolso.{/i}","{i}我徐徐走進中正珠寶店。{wc}店內似乎是專門銷售珠寶以及鑽戒的高檔店。{wc}我也希望有一天自己買得起。{wc}中正珠寶店—Pocket Jewelry, definitely not meant to be carried in your pocket or paid with pocket money.{/i}"
SAY.ENIntro.92.Miss,,"Hey there, Ellie! How are you?","E aí, Ellie! Como você está?",嘿艾莉！妳好嗎？
SAY.ENIntro.95.Ellie,,I’m doing great! How about you?,Estou ótima! E você?,我過得很好！妳呢？
SAY.ENIntro.146.Miss,,"Good to hear, I’m well too!{wc}As you can probably tell, we’re cleaning up after a jewelry shop robbery today.","Bom saber, eu também estou bem!{wc}Como você pode ver, iremos arrumar tudo depois de um roubo que aconteceu hoje nesta loja de joias.",我也不錯！{wc}妳可能看得出來，今天我們要來清理一樁珠寶偷竊案現場。
SAY.ENIntro.97.Miss,,Someone broke the windows and all the cases! I’ll be fixing a few small things around the area and you can cover the more prominent issues.,Alguém quebrou as janelas e todas as vitrines dos balcões. Eu arrumarei umas coisinhas pela região e você pode se ocupar com as coisas mais relevantes.,有人打破了窗戶和展示櫃！你來幫忙清理並修復玻璃吧！我會幫忙處理剩下的小事。
SAY.ENIntro.149.Miss,,Let’s make it a good one!,Vamos fazer um bom trabalho!,我們開始吧！
SAY.ENIntro.99.Ellie,,"{i}(Ah, I forgot to tell you the second most important part of the job -- the first being our maid dresses, of course!)","{i}(Ah, eu esqueci de lhe contar a segunda parte mais importante do trabalho [com a primeira sendo nossos trajes de faxineira, claro!])",{i}（我好像忘記跟你介紹我們的工作內容了，當然最重要的還是我們的女僕裝啦～）
SAY.ENIntro.151.Ellie,,"{i}(We’re actually cleaning up top secret crime scenes!){wc}(I know, it shocked me at first, too!!!)","{i}(Nós, na verdade, estamos limpando cenas de crime ultra secretas!){wc}(Eu sei, a princípio também fiquei chocada!!!)",{i}（我們其實要清理犯案現場！）{wc}（這在一開始也有點出乎意料！）
SAY.ENIntro.153.Ellie,,"{i}(Well, I say we clean up “crime scenes,” but I’ve only done robberies that involve broken glass so far. I guess Miss is only confident in my glass repairing skills.)","{i}(Bom, eu digo que limpamos ""cenas de crime"", mas, até agora, só limpei cenas de roubo que envolviam vidro quebrado. Eu acho que a Dona só confia nas minhas habilidades de reparo de vidro.)",{i}（雖然我們清理的是「犯案現場」但是我目前處理的也頂多是修復偷竊案後的碎玻璃，看來小姐目前只相信我修復玻璃的能力吧！）
SAY.ENIntro.157.Ellie,,What -- what am I wearing??{wc}Wow... I actually look really cute in this costume.{wc}Who knew wearing so many ruffles could fit me so well?,"O que... o que estou vestindo??{wc}Uau... na verdade, eu fiquei bem fofa com esse traje.{wc}Quem diria que usar tantos babados combinaria tanto comigo?",我......我到底身上穿了什麼啊！{wc}哇！這服裝穿起來好可愛啊！{wc}誰知道穿這麼多摺邊會這麼合？
SAY.ENIntro.159.???,,"Hello, dear!","Olá, querida!",妳好啊！
SAY.ENIntro.161.Ellie,,WAAAH!{wc}What the melon?? {wi}...Who are you?,AHHHH!{wc}Santo melão!? {wi}...Quem é você?,啊啊啊！{wc}發生什麼事！？{wi}妳是誰！？
SAY.ENIntro.163.???,,..? {wi}You walked into my company and you’re asking who I am?,..?{wi} Você entrou na minha empresa e está perguntando quem sou eu?,？{wi}妳走進了我的公司還問我是誰？
SAY.ENIntro.165.Ellie,,"OH!! {w=0.5}Oh, I’m so sorry! I didn’t realize! I got distracted by-- uh, my dress, like...","AH!! {w=0.5}Ah, me desculpe! Eu não percebi! Eu me distraí com... é, meu traje, tipo...",歐！{w=0.5}歐，真是抱歉！我沒注意到！我被我自己的女僕裝分神了。
SAY.ENIntro.167.???,,"Hahaha, you’re an adorable one.{wc}Did you come here because you were interested in our job listing?","Hahaha, você é adorável.{wc}Você veio aqui porque está interessada em trabalhar conosco?",呵呵呵妳好可愛啊！{wc}妳是來這邊應徵的吧！
SAY.ENIntro.169.Ellie,,Ummmm... I guess??,"Hummm... Sim, talvez??",ㄜ......我猜？？？
SAY.ENIntro.171.Ellie,,"Truthfully, I came in here to ask about that, but I have no idea how I got in this dress, I swear it was some magical girl type of thing... {wc}I don’t know, I probably sound really crazy right now, but I seriously am so confused!","Sinceramente, eu vim aqui para perguntar sobre isso, mas eu não tenho ideia de como acabei com esse traje, eu juro que foi algum tipo de mágica... {wc}Eu não sei, devo estar parecendo ser louca, mas estou realmente confusa!",我的確是來這邊應徵的，但我自己也不太清楚是如何得到女僕裝的，大概是像動漫內的美少女是如何登場的樣子吧！她們都會在討伐大怪之前華麗地換上戰鬥服裝。{wc}你可能不相信我，但連我都很困惑剛剛發生什麼事！
SAY.ENIntro.172.???,,"Haha, that sounds like a weird occurrence.","Haha, isso parece ser um acontecimento estranho.",哈哈，剛剛看似經過了一連串的怪事......
SAY.ENIntro.173.Ellie,,{i}(She doesn’t believe me...){/i},(Ela não acredita em mim...),{i}（她好像不太相信我......）{/i}
SAY.ENIntro.174.???,,"Here, as you might have known already, we are currently hiring at the moment and we start at $1,500 per job.{wc}Jobs usually takes an hour, though our working hours aren’t the most stable or convenient.{wc}Tell you what, I’ve taken a liking to you. All you need to do is fill out this contract and you’re all set to go!","Então, como você já deve saber, nós estamos contratando no momento e começamos com 7 mil reais por trabalho.{wc}Cada trabalho leva cerca de uma hora, embora nossas horas de trabalho não sejam as mais estáveis ou convenientes.{wc}Sabe de uma coisa, gostei de você. Tudo que você precisa fazer é preencher este contrato e você estará pronta!",妳可能已經看出來我們的工作起薪於每次新台幣五萬。{wc}每次工作差不多一小時，但工作內容不會是最輕鬆或方便的。{wc}不如這樣說好了，妳已經被錄取了！簽好這份契約就可以開始工作了！
SAY.ENIntro.176.Ellie,,"Ahhh, $1,500 an hour sounds like a godsend!! It’s too good to be true! I guess the unstable hours are the tradeoff.","Ahhh, 7 mil reais por hora parece um presente dos céus!! É bom demais para ser verdade! Imagino que as horas instáveis sejam o lado ruim.",哇！一次工作就領五萬實在是很難相信，這可能是社會上 CP 值最高的工作了吧！我在猜不穩定的工時應該就是為什麼給的薪水如此的高的原因吧！
SAY.ENIntro.178.Ellie,,"But waitwaitwait, I don’t even know much about this job!{wc}As far as I’m aware, we work as maids, but that doesn’t tell me anything! What do we even do?","Mas peraperapera, eu nem sei muito sobre esse trabalho!{wc}Pelo que eu sei, nós trabalhamos como faxineiras, mas isso não me diz nada! O que nós fazemos, de fato?",等等啊！我還不知道具體的工作內容啊！{wc}據我所知，我們以女僕的身份工作，但那好像也沒能完全解釋我們的工作內容啊！我們到底是在做什麼的？
SAY.ENIntro.179.???,,"Oh, we just clean up some messes people have made, and we are to usually work in different places, though you’ll probably be working with me.{wc}It is actually quite a simple job. You will only need to work on the easier tasks at first, such as picking up broken material and sweeping floors.{wc}Just make sure you don’t tell anyone about this job or what you do and know that I can’t answer all your questions. Our clients are pretty serious about staying private!","Ah, nós só limpamos a bagunça de algumas pessoas e, geralmente, trabalhamos em lugares diferentes, embora você provavelmente vá trabalhar comigo.{wc}Na verdade, é um trabalho bem simples. A princípio, você só terá que realizar as tarefas mais simples, como juntar coisas quebradas e varrer o chão.{wc}Só se certifique de não contar para ninguém sobre esse trabalho ou sobre o que você faz e saiba que eu não consigo responder a todas as suas perguntas. Nossos clientes levam a privacidade realmente a sério!","Oh, we just clean up some messes people have made, and we are to usually work in different places, though you’ll probably be working with me.{wc}It is actually quite a simple job. You will only need to work on the easier tasks at first, such as picking up broken material and sweeping floors.{wc}Just make sure you don’t tell anyone about this job or what you do and know that I can’t answer all your questions. Our clients are pretty serious about staying private!"
SAY.ENIntro.181.Ellie,,"Mmmm... I think I’m pretty good at cleaning, and I don’t mind the privacy thing..",Humm... Eu me considero muito boa em limpeza e eu não me importo sobre a questão da privacidade...,我覺得我對於清理還蠻在行的，而且我也不太在乎客戶對於隱私的要求。
SAY.ENIntro.183.Ellie,,"Ah! Wait! {wi}Before I sign, may I know your name?","Ah! Espere! {wi}Antes de assinar, posso saber seu nome?",對了{wi}在我簽名之前，可以先告訴我您的名字嗎？
SAY.ENIntro.184.???,,"Hahah, you can call me Miss.","Hahah, você pode me chamar de Dona.",哈哈哈，請叫我「小姐」就好了。
SAY.ENIntro.185.Ellie,,"...OK, Miss! I’ve made my decision! Hand over that contract, please!","...Tá certo, Dona! Tomei minha decisão! Me dê o contrato, por favor!",好的，小姐！請拿給我員工契約吧！
SAY.ENIntro.199.,,Are you really really sure?,Você tem certeza mesmo?,你真的非常非常確定？
MENU.ENIntro.207,,Yes (ends the game),Sim (fim de jogo),是（結束遊戲）
MENU.ENIntro.208,,No (good choice),Não (boa escolha),否（好選擇）
CHARACTER.Ellie,,Ellie,Ellie,艾莉
CHARACTER.???,,???,???,？？？
CHARACTER.Miss,,Miss,Dona,小姐
