Minigame2Init,,,,
Key,Description,Standard,pt-BR,zh-TW
SAY.Minigame2.24.Ellie,,"{i}Wait, our dress has pockets?!? No way, seriously?{wc}I reach my hand into the same place. {wi}There’s a tiny pocket!!!","{i}Espera aí, nossos trajes têm bolsos?!? Sem chance, sério?{wc}Eu coloco minha mão no mesmo lugar do traje. {wi}Tem um bolsinho!!!",{i}我們的洋裝有口袋？！？太扯了吧！{wc}我把我的手伸進剛剛小姐伸進的相同位置。{wi}這制服真的有一個小口袋ㄟ！
SAY.Minigame2.17.Ellie,,The cord snapped when it fell off the drawer.{wc}The screen also is cracked beyond repair...,O cabo arrebentou quando ela caiu do móvel.{wc}A tela também não tem conserto...,那台電視螢幕十分破舊{wc}底下的電源線也不堪使用。
SAY.Minigame2.16.Miss,,Good thing I brought an extra TV!,Que bom que eu trouxe uma televisão reserva!,好險我有帶一台備用的電視！
SAY.Minigame2.25.Ellie,,..Huh!? You what?,..Hã!? Você o quê?,蛤？妳剛剛？
SAY.Minigame2.26.Miss,,It never hurts to be prepared for this.,Nunca é demais estar preparada para essas coisas.,俗話說的好：「有備無患」
SAY.Minigame2.27.Ellie,,"{i}(Woah, Miss is always so neat and prepared...)","{i}(Uau, Dona é sempre tão organizada e preparada...)",{i}（哇！小姐總是會洞察事情的變化並且未雨綢繆！真厲害！）
SAY.Minigame2.29.Ellie,,"{i}(I’m surprised this pillow is relatively untouched, given the tragic state of the TV and all.)","{i}(Estou surpresa que este travesseiro esteja praticamente intacto, se levarmos em conta o estado trágico da TV e tudo mais.)",{i}（在剛剛看到那台電視的慘況後，我很驚訝發現枕頭竟然一塵不染。）
SAY.Minigame2.31.Ellie,,"{i}(Ugh, I almost didn’t catch that! Cleaning really is in the little things...)","{i}(Ugh, quase não percebi isso! A arte da arrumação realmente está nas pequenas coisas...)",{i}（痾......剛剛差一點就沒有注意到！魔鬼總是藏在細節裡。）
SAY.Minigame2.33.Ellie,,That was almost unnoticeable.,Isso estava quase imperceptível.,那幾乎很難發現。
SAY.Minigame2.34.Miss,,What was?,O quê?,那是？
SAY.Minigame2.35.Ellie,,"The lampshade, tilted like two degrees.","A luminária, estava inclinada uns dois graus.",一盞燈，看起來傾斜了大約兩度。
SAY.Minigame2.36.Miss,,"Aww yeah, you have to keep your eyes peeled.","Ahh sim, você deve manter seus olhos bem abertos.",妳真的需要仔細觀察所有小細節啊！
SAY.Minigame2.37.Ellie,,I don’t know if I’m good at this...,Não sei se sou boa nisso...,我真的不太擅長這種東西。
SAY.Minigame2.38.Miss,,Don’t worry!! We’re in this together.,Não se preocupe!! Estamos nessa juntas.,不用擔心！！我會在妳身旁幫忙的。
SAY.Minigame2.39.Ellie,,"Waaah, thank you Miss!","Ahhhh, obrigada, Dona!",謝謝妳！
SAY.Minigame2.40.Miss,,"Haha~, anytime.","Haha~, a qualquer hora.",不客氣～
SAY.Minigame2.42.Ellie,,"{i}(...!? Is this blood? ...No, it can’t be, right? Should I ask? ...Maybe, yeah, otherwise I wouldn’t know how to clean it.)","{i}(...!? Isso é sangue? ...Não, não pode ser, não é? Será que devo perguntar? ...Talvez sim, senão não saberia como limpar isso.)",{i}（這......是血？不可能吧？我該問問小姐嗎？應該吧？不然我也不知道要怎麼處理才好）
SAY.Minigame2.50.Ellie,,"Hey, Miss...","Ei, Dona...",小......小姐～
SAY.Minigame2.43.Miss,,Yeah?,Sim?,嗯？
SAY.Minigame2.44.Ellie,,Um... is this... you know?,Hum... isso é... você sabe?,痾這是......妳知道的？
SAY.Minigame2.45.Miss,,What?,O quê?,什麼？
SAY.Minigame2.46.Ellie,,Uh.. I think there might be.. blood here?,É... eu acho que possa ter.. sangue aqui?,我......我覺得這看起來好像是血跡。
SAY.Minigame2.51.Ellie,,...,...,...…
SAY.Minigame2.47.Miss,,"Ah, don’t worry, don’t mind that! It’s probably just a coffee spill. See? The machine’s right there.","Ah, não se preocupe, não ligue pra isso! Provavelmente é só café derramado. Viu? A cafeteira está logo ali.",啊！不用擔心啦～那只是有人不小心把咖啡灑到而已～妳看咖啡機不就在那兒嗎？
SAY.Minigame2.48.Ellie,,"Ohh, okay...","Ah, tá certo...",歐歐，好吧......
SAY.Minigame2.49.Miss,,"Here, I can clean this up instead, don’t worry about it!","Aqui, deixa que eu limpo isso, não se preocupe!",我可以幫妳處理這個，不用擔心！
SAY.Minigame2.52.Ellie,,"Ah, alright..!","Ah, tudo bem..!",ㄏ......好。
SAY.Minigame2.53.Ellie,,{i}(I need to stop overthinking!),{i}(Eu preciso parar de me preocupar tanto!),{i}（我該停止這樣疑神疑鬼的！）
CHARACTER.Ellie,,Ellie,Ellie,艾莉
CHARACTER.Miss,,Miss,Dona,小姐
